"OA","Age_0_17","Age_18_29","Age_30_44","Age_45_64","Age_65_up","united_kingdom","ireland","other_eu","other_countries","no_cars","one_car","two_cars","three_and_more_cars","employed","unemployed","retired","white","asian","black_african","other_arab","all_english","notall_english","kids_english","no_english","single","married","divorced","lowest_quali","highest_quali","christian","jewish","muslim","no_religion","owned","shared","social_rent","private_rent","rent_free","males","females"
"E00014043",6.1,29.5,32,22,10.3,36.1,1.7,21.6,40.7,65.8,28.1,4.8,1.4,60.2,2.3,8.8,71,19.5,1.7,0,63,7.5,0.7,28.8,52.4,31.7,10.6,2.6,57.7,58.9,1.7,6.6,22,32.9,0,2.7,57.5,6.8,53.1,46.9
"E00014044",22.8,11.1,25.9,25.2,15,52.8,1.4,16.2,29.7,37.9,37.9,15.3,8.9,71.2,0.9,9,87.6,7.9,0.3,0,77.4,10.5,0.8,11.3,30.5,63.3,2.7,2.7,72.6,73.4,1.4,0.3,16.6,62.1,0,0,36.3,1.6,52.1,47.9
"E00014045",16.9,18.3,23.5,25.3,15.9,50.9,0.7,19,29.4,34.4,39.2,22.4,4,61.4,0.9,10.5,84.1,8,0,2.1,65.6,14.4,1.6,18.4,41.2,50.6,4.1,2.1,68.7,63.3,2.4,3.8,18.7,57.6,0,2.4,40,0,51.9,48.1
"E00014046",16.1,15.6,25.2,27.2,15.9,43.8,1.7,9.7,44.8,33.3,48.4,12.7,5.6,57.7,2.6,11.9,61.7,20.3,0.7,5.2,62.7,15.1,1.6,20.6,34.3,49.2,8.5,6.5,51.2,42.1,4.8,17.2,19.7,65.9,0,3.2,25.4,5.6,44.1,55.9
"E00014047",13.3,17.9,33.3,24.3,11.4,45.5,0,17.8,36.7,38.9,40.5,17.6,3.1,75.7,1.4,6.9,79.5,12.1,1.5,1.5,74,14.5,0,11.5,39.6,46.5,8.3,3,70,54.9,1.9,1.9,26.9,54.2,0,0,43.5,2.3,54.5,45.5
"E00014048",14.4,28,35.4,14,8.2,40.7,1.2,25.9,32.1,49.1,40.5,8.6,1.8,76.3,1.5,4,81.5,9.9,0.4,2.5,55.2,17.2,2.6,25,53.1,30.1,9.1,3.3,65.1,48.1,1.2,8.6,29.2,51.7,0,1.7,44.8,1.7,51,49
"E00014049",7.3,23.5,39.3,15.2,14.9,43.2,1.7,21.8,33.3,72.6,22.6,4.7,0,71.6,4.6,9.6,72.6,10.2,1,3,64.2,11.6,0.5,23.7,60.6,23,7.8,3.2,61,57.8,2,4,22.4,37.4,0.5,20,40.5,1.6,54.5,45.5
"E00014050",16.8,18.6,33.6,25.7,5.3,37.6,1.3,9.7,51.3,62.6,36,1.4,0,46.6,9.9,5.8,30.5,22.6,15,18.1,48.2,10.8,0.7,40.3,50.5,28.9,11.9,11.3,39.7,37.6,0.9,35,18.1,13.7,0,34.5,48.9,2.9,61.5,38.5
"E00014051",18.4,25.5,28,20.8,7.2,37.7,2.4,10.1,49.8,52.4,39.3,8.3,0,52.7,5.5,2.4,43.5,11.6,6.8,25.1,44,27.4,4.8,23.8,50,38.6,4,8,54.5,32.4,0,38.6,21.3,40.5,0,14.3,40.5,4.8,50.2,49.8
"E00014052",8.3,28.3,29.4,22.2,11.8,32.1,2.3,18.3,47.3,77.4,20.8,1.8,0,54.1,2.6,7.9,59.5,20.2,2.3,7.3,58.3,6.5,1.2,33.9,57.2,27.6,9.5,5.3,43.6,46.6,1.5,22.1,19.8,23.8,1.8,28,43.5,3,49.2,50.8
"E00014053",13.4,25.4,43.1,13.4,4.9,35.6,1.3,24.9,38.2,59.5,34.2,5.4,0.9,67.4,2.6,4.1,72,16.9,0,4.9,51.4,14.4,5.4,28.8,54.6,39.3,2,2,61.7,48.9,0.4,2.7,25.8,37.8,0,1.8,59.5,0.9,48.4,51.6
"E00014054",11.9,23.5,34.3,20.6,9.9,27,0,26.5,46.6,67.6,28.8,3.6,0,55.8,2.9,9.3,55.9,15.2,2.5,9.8,44.1,17.1,3.6,35.1,51.4,27.6,8.8,3.3,55.2,43.6,0.5,20.6,18.6,45,0,0.9,51.4,2.7,56.9,43.1
"E00014055",18.2,19.3,18.1,29,15.4,44.4,1.2,17,37.5,38.5,44,12.8,4.6,60,2.6,12.3,71.8,16.2,0,5.8,62.4,15.6,0.9,21.1,38.3,45.3,9.3,1.4,66.8,51,2.7,15.4,15.4,69.7,0,0.9,28.4,0.9,49.4,50.6
"E00014056",15.4,18.8,31.1,21.5,13.1,34.6,3.1,14.9,47.4,45.2,42.3,11.5,1,63.6,4.9,4.9,62.7,14.5,2.2,9.2,61.5,19.2,2.9,16.3,48.5,37.4,7.1,4,60.1,40.8,1.3,18.9,21.9,54.8,0,1.9,38.5,4.8,44.3,55.7
