
"KS102EW - Age structure"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","Age 0 to 4","Age 5 to 7","Age 8 to 9","Age 10 to 14","Age 15","Age 16 to 17","Age 18 to 19","Age 20 to 24","Age 25 to 29","Age 30 to 44","Age 45 to 59","Age 60 to 64","Age 65 to 74","Age 75 to 84","Age 85 to 89","Age 90 and over"

"E00014303","E00014303",6.5,2.5,3.0,6.0,0.5,1.5,1.0,8.0,7.5,32.2,21.1,6.0,3.0,1.0,0.0,0.0
"E00014307","E00014307",3.4,4.0,3.1,6.0,1.7,1.4,2.6,7.7,6.6,24.8,23.9,5.1,4.8,3.7,1.1,0.0
"E00014311","E00014311",5.3,1.4,1.9,7.7,1.9,1.9,2.4,6.2,4.8,20.6,20.6,6.7,13.9,2.9,1.9,0.0
"E00014312","E00014312",6.9,3.2,2.1,9.8,0.3,3.5,2.9,4.5,9.8,30.6,15.2,2.4,3.5,4.5,0.8,0.0
"E00175093","E00175093",4.8,3.7,2.9,7.3,0.7,2.2,2.6,8.8,11.4,22.0,17.2,6.2,6.6,3.7,0.0,0.0
"E00175094","E00175094",6.4,0.5,0.5,1.6,0.5,1.1,1.1,6.4,21.4,39.0,5.9,0.0,2.7,9.6,1.6,1.6
"E00175095","E00175095",10.9,6.4,6.4,12.5,2.2,3.8,1.9,3.5,4.5,30.4,12.8,2.2,2.6,0.0,0.0,0.0
"E00014316","E00014316",4.8,1.7,0.9,2.2,0.4,0.4,2.6,10.5,19.7,32.3,18.3,4.4,0.9,0.9,0.0,0.0
"E00014317","E00014317",5.3,3.7,4.1,6.6,0.8,3.3,1.6,6.6,10.7,14.0,19.8,5.3,10.7,4.9,2.1,0.4
"E00014318","E00014318",5.0,1.4,0.0,3.6,0.7,1.4,0.7,5.0,5.0,32.1,19.3,6.4,10.0,8.6,0.7,0.0
"E00014319","E00014319",4.9,4.4,3.4,11.2,2.4,4.9,3.9,9.7,7.3,18.4,17.5,3.4,7.8,1.0,0.0,0.0
"E00014320","E00014320",5.5,4.4,2.2,8.4,2.2,3.6,3.3,4.7,7.3,18.5,18.9,5.1,9.8,5.1,0.7,0.4
"E00014309","E00014309",7.4,6.4,2.3,9.1,2.3,4.2,2.3,6.0,5.5,24.0,18.3,4.3,5.3,2.3,0.4,0.0
"E00014314","E00014314",6.6,1.8,1.3,5.7,1.3,3.1,2.2,8.8,10.1,18.4,16.2,6.6,11.0,6.1,0.4,0.4
"E00014315","E00014315",3.6,1.8,1.8,4.5,0.0,1.8,0.0,3.6,0.9,8.2,21.8,6.4,22.7,18.2,2.7,1.8
"E00014321","E00014321",5.9,3.9,1.6,7.9,2.4,2.4,1.6,5.9,10.2,25.6,20.1,3.5,5.1,2.8,0.4,0.8
"E00014300","E00014300",6.1,3.0,2.3,4.3,1.0,1.5,1.0,4.8,12.4,32.6,15.9,3.8,4.8,5.3,0.5,0.8
"E00014301","E00014301",6.3,2.5,1.9,5.5,1.4,1.1,1.9,6.3,11.0,22.8,19.5,7.7,6.3,4.9,0.8,0.0
"E00014323","E00014323",5.7,3.1,2.6,6.4,1.8,3.1,2.1,9.0,8.5,21.9,23.7,4.6,3.9,3.3,0.0,0.5
"E00014324","E00014324",2.6,3.5,1.3,6.7,1.9,3.5,2.6,6.4,11.2,19.2,23.6,4.8,7.0,5.1,0.6,0.0
"E00014327","E00014327",5.6,2.6,1.9,4.9,0.4,0.8,1.1,9.4,11.7,28.9,19.5,6.8,3.8,1.9,0.4,0.4
"E00014304","E00014304",5.5,4.4,3.6,9.5,1.8,4.4,1.8,5.1,7.3,19.3,19.3,5.5,6.2,5.1,1.1,0.0
"E00014305","E00014305",4.7,2.7,2.3,3.5,3.1,1.6,3.5,9.4,11.7,16.4,25.4,4.7,9.0,1.6,0.0,0.4
"E00014308","E00014308",8.2,3.3,2.6,8.6,1.0,2.3,1.3,7.2,7.2,24.7,19.7,4.3,5.9,3.6,0.0,0.0
"E00014310","E00014310",11.4,5.9,2.7,6.7,2.4,3.1,2.0,7.5,7.1,23.9,18.4,2.7,4.7,1.2,0.0,0.4
"E00014313","E00014313",2.7,3.1,3.5,5.8,0.4,4.2,3.5,10.0,3.1,20.4,25.8,4.2,8.1,3.8,1.2,0.4
