
"KS204EW - Country of birth"
"ONS Crown Copyright Reserved [from Nomis on 9 June 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","United Kingdom","Ireland","Other EU","Other countries"

"E00014303","E00014303",49.2,1.5,18.1,31.2
"E00014307","E00014307",49.3,2.8,10.3,37.6
"E00014311","E00014311",49.8,2.4,4.8,43.1
"E00014312","E00014312",56.6,1.6,8.5,33.2
"E00175093","E00175093",57.1,3.7,5.5,33.7
"E00175094","E00175094",26.7,2.7,19.3,51.3
"E00175095","E00175095",56.2,0.6,3.5,39.6
"E00014316","E00014316",53.7,1.3,12.7,32.3
"E00014317","E00014317",55.1,4.1,7.0,33.7
"E00014318","E00014318",48.6,5.0,10.0,36.4
"E00014319","E00014319",52.4,2.9,6.3,38.3
"E00014320","E00014320",56.7,3.6,8.7,30.9
"E00014309","E00014309",59.9,1.7,5.3,33.1
"E00014314","E00014314",50.4,1.8,7.9,39.9
"E00014315","E00014315",34.5,1.8,10.9,52.7
"E00014321","E00014321",50.4,1.6,13.0,35.0
"E00014300","E00014300",58.3,2.8,14.1,24.7
"E00014301","E00014301",47.8,3.0,6.3,42.9
"E00014323","E00014323",61.2,1.0,5.7,32.1
"E00014324","E00014324",55.0,0.6,7.3,37.1
"E00014327","E00014327",54.1,4.5,12.4,28.9
"E00014304","E00014304",58.0,4.4,8.8,28.8
"E00014305","E00014305",48.4,1.6,7.4,42.6
"E00014308","E00014308",50.7,3.3,10.2,35.9
"E00014310","E00014310",55.3,2.4,9.4,32.9
"E00014313","E00014313",57.3,2.7,5.8,34.2
"E00014615","E00014615",55.3,0.9,9.4,34.3
"E00014620","E00014620",62.0,0.9,4.7,32.3
"E00014624","E00014624",62.0,3.0,5.6,29.5
"E00014629","E00014629",58.8,1.8,9.7,29.7
"E00014630","E00014630",66.4,2.9,2.9,27.9
"E00014621","E00014621",61.8,2.2,7.0,29.0
"E00014623","E00014623",69.0,3.9,5.7,21.4
"E00014626","E00014626",58.8,1.8,7.0,32.4
"E00014628","E00014628",53.5,4.2,12.5,29.9
"E00014634","E00014634",62.3,3.3,8.5,25.9
"E00014616","E00014616",59.0,3.0,15.4,22.6
"E00014622","E00014622",59.8,2.8,11.5,26.0
"E00014625","E00014625",62.5,0.7,6.4,30.3
"E00014633","E00014633",64.9,4.2,11.8,19.1
"E00014636","E00014636",71.8,5.4,6.6,16.2
"E00014619","E00014619",66.3,0.7,5.9,27.1
"E00014627","E00014627",66.1,1.0,5.1,27.7
"E00014631","E00014631",69.2,2.5,6.4,21.8
"E00014632","E00014632",61.0,2.2,3.2,33.6
"E00014641","E00014641",66.0,1.4,8.8,23.8
"E00014450","E00014450",61.7,1.9,7.8,28.6
"E00014451","E00014451",70.6,1.6,9.9,17.9
"E00014452","E00014452",69.6,1.4,10.5,18.5
"E00014453","E00014453",56.5,4.7,11.5,27.2
"E00014456","E00014456",69.2,2.5,12.6,15.7
"E00014458","E00014458",75.2,3.5,7.3,14.0
"E00014445","E00014445",56.9,1.7,5.9,35.4
"E00014446","E00014446",48.7,2.1,9.3,40.0
"E00014460","E00014460",68.8,3.5,10.9,16.9
"E00014462","E00014462",67.2,1.8,4.0,27.0
"E00014465","E00014465",50.4,2.7,7.6,39.4
"E00014454","E00014454",53.3,2.1,12.2,32.4
"E00014455","E00014455",60.0,3.7,12.0,24.3
"E00014457","E00014457",52.2,3.3,14.4,30.0
"E00014459","E00014459",60.3,0.8,9.1,29.8
"E00014463","E00014463",44.9,4.6,6.9,43.5
"E00014464","E00014464",51.5,3.4,17.8,27.3
"E00014635","E00014635",69.0,4.9,8.0,18.1
"E00014637","E00014637",63.0,2.7,15.4,18.8
"E00014638","E00014638",65.2,4.3,10.9,19.5
"E00014640","E00014640",70.1,2.2,12.1,15.6
"E00014643","E00014643",61.5,2.8,12.3,23.4
"E00014614","E00014614",53.8,3.0,16.0,27.2
"E00014617","E00014617",60.6,2.6,12.6,24.1
"E00014618","E00014618",56.6,3.8,13.8,25.9
"E00014639","E00014639",66.0,2.4,9.2,22.5
"E00014642","E00014642",56.0,2.1,12.1,29.8
"E00014644","E00014644",56.1,3.5,11.8,28.5
"E00014163","E00014163",61.6,1.9,7.1,29.5
"E00014168","E00014168",62.4,2.2,13.5,21.9
"E00014170","E00014170",58.1,2.6,14.5,24.8
"E00014171","E00014171",59.4,2.9,11.3,26.4
"E00014173","E00014173",58.9,2.2,10.0,28.9
"E00014175","E00014175",61.3,1.1,11.8,25.8
"E00014150","E00014150",50.3,3.0,13.4,33.2
"E00014151","E00014151",61.0,2.8,6.5,29.7
"E00014162","E00014162",54.4,0.6,14.6,30.4
"E00014164","E00014164",53.6,3.3,10.5,32.6
"E00014165","E00014165",63.3,3.1,10.8,22.8
"E00014167","E00014167",53.6,2.2,15.3,28.8
"E00014153","E00014153",64.0,0.8,13.8,21.5
"E00014166","E00014166",62.0,1.0,10.5,26.5
"E00014169","E00014169",60.1,0.3,11.3,28.3
"E00014172","E00014172",42.9,1.4,23.4,32.3
"E00014174","E00014174",60.6,2.4,10.4,26.6
"E00014177","E00014177",52.1,2.8,6.3,38.8
"E00014178","E00014178",52.5,5.9,10.0,31.5
"E00014152","E00014152",42.2,1.9,18.6,37.3
"E00014154","E00014154",56.6,2.2,8.4,32.8
"E00014157","E00014157",58.6,2.7,5.3,33.4
