
"KS601EW to KS603EW - Economic activity by sex"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"
"Sex        :","All persons"

"2011 output area","mnemonic","Economically active: In employment","Economically active: Unemployed","Economically active: Full-time student","Economically inactive: Retired","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Unemployed: Age 16 to 24","Unemployed: Age 50 to 74","Unemployed: Never worked"

"E00014303","E00014303",64.4,7.5,2.5,5.0,6.2,8.8,1.9,1.2,0.6
"E00014307","E00014307",48.5,9.3,3.0,7.0,6.7,10.0,1.1,3.3,1.5
"E00014311","E00014311",42.2,7.5,2.5,18.6,7.5,8.1,1.2,0.6,1.9
"E00014312","E00014312",57.7,5.9,4.4,5.1,6.6,7.7,1.5,1.8,2.2
"E00175093","E00175093",56.2,9.5,1.0,6.7,8.6,3.3,2.4,1.9,2.4
"E00175094","E00175094",71.7,6.2,7.6,2.8,4.8,3.4,0.0,1.4,2.1
"E00175095","E00175095",51.8,9.8,4.1,4.1,9.8,6.2,1.6,2.6,2.6
"E00014316","E00014316",64.2,5.9,2.0,2.5,4.4,4.9,0.5,2.5,2.0
"E00014317","E00014317",34.3,9.1,6.3,17.7,10.3,10.3,1.7,2.3,2.9
"E00014318","E00014318",53.6,6.2,1.8,17.0,2.7,12.5,0.0,0.9,2.7
"E00014319","E00014319",42.0,9.3,4.0,8.7,8.0,12.0,2.7,0.0,4.7
"E00014320","E00014320",41.3,8.7,4.6,14.8,6.1,9.7,0.5,1.5,3.6
"E00014309","E00014309",51.6,9.5,4.6,8.9,7.0,5.1,2.4,1.6,2.4
"E00014314","E00014314",44.8,9.2,5.7,14.9,5.2,8.0,1.7,1.7,1.7
"E00014315","E00014315",27.8,9.7,1.4,30.6,4.2,18.1,1.4,4.2,4.2
"E00014321","E00014321",55.0,11.6,4.2,5.8,5.3,8.5,1.1,1.6,2.1
"E00014300","E00014300",60.5,7.2,2.6,6.9,5.6,6.9,0.7,1.3,0.7
"E00014301","E00014301",46.2,8.6,3.2,11.5,7.2,12.2,1.4,1.1,1.1
"E00014323","E00014323",46.3,9.7,5.4,6.4,5.4,12.1,2.3,0.7,1.3
"E00014324","E00014324",49.0,7.8,3.3,9.4,5.3,9.0,2.0,1.2,2.0
"E00014327","E00014327",54.1,8.3,1.4,7.8,7.3,11.0,1.8,0.0,0.5
"E00014304","E00014304",49.2,12.7,2.1,10.6,9.5,6.3,2.1,2.1,1.1
"E00014305","E00014305",45.9,6.2,3.8,11.5,5.3,11.5,1.4,1.4,1.4
"E00014308","E00014308",50.2,11.3,1.4,10.4,6.8,9.5,2.7,1.4,1.8
"E00014310","E00014310",44.6,8.5,4.0,6.8,9.6,7.9,1.1,1.1,0.6
"E00014313","E00014313",45.6,9.7,3.4,10.2,3.4,10.7,3.4,1.5,2.9
"E00014615","E00014615",44.3,11.7,3.0,8.3,11.7,9.1,3.0,0.4,4.3
"E00014620","E00014620",48.1,11.4,3.0,3.4,5.9,8.4,2.5,1.7,3.8
"E00014624","E00014624",54.2,7.4,4.2,5.3,4.7,13.2,1.1,0.5,2.6
"E00014629","E00014629",52.3,10.2,0.8,14.1,4.7,10.9,1.6,3.1,0.8
"E00014630","E00014630",35.1,12.8,0.0,18.1,5.3,11.7,3.2,5.3,4.3
"E00014621","E00014621",59.2,7.0,2.9,5.5,4.4,5.5,2.2,2.2,1.8
"E00014623","E00014623",55.3,10.2,4.5,8.5,6.5,4.9,2.4,2.4,3.3
"E00014626","E00014626",47.7,5.0,5.5,12.6,7.5,9.0,0.5,1.5,1.5
"E00014628","E00014628",48.2,7.1,4.0,6.2,5.3,10.6,1.3,2.2,1.3
"E00014634","E00014634",53.5,6.5,2.0,10.2,4.1,10.2,1.2,1.6,1.6
"E00014616","E00014616",70.9,5.7,0.4,7.9,1.8,4.8,1.8,0.4,0.4
"E00014622","E00014622",54.9,5.9,2.4,10.0,4.9,8.9,2.4,0.5,1.4
"E00014625","E00014625",40.0,11.3,8.7,5.6,8.7,9.2,4.1,2.1,2.6
"E00014633","E00014633",59.8,10.7,3.6,4.9,7.1,6.2,1.3,1.8,0.9
"E00014636","E00014636",53.2,6.0,3.0,11.5,6.0,8.5,2.1,1.3,1.7
"E00014619","E00014619",44.9,6.6,3.6,4.1,9.7,9.2,2.6,1.0,1.5
"E00014627","E00014627",44.9,8.7,1.9,8.7,8.7,14.0,1.0,1.9,1.9
