
"KS201EW - Ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All usual residents","White","Mixed/multiple ethnic groups","Asian/Asian British","Black/African/Caribbean/Black British","Other ethnic group: Arab"

"E00014303","E00014303",100.0,52.3,5.0,9.0,24.6,4.5
"E00014307","E00014307",100.0,45.3,4.6,16.0,22.5,8.0
"E00014311","E00014311",100.0,29.2,3.8,8.1,39.2,7.7
"E00014312","E00014312",100.0,40.4,10.1,9.8,25.3,6.9
"E00175093","E00175093",100.0,50.2,5.5,11.0,17.9,6.6
"E00175094","E00175094",100.0,54.5,5.9,17.1,10.2,7.5
"E00175095","E00175095",100.0,24.3,9.3,12.5,34.8,9.9
"E00014316","E00014316",100.0,60.7,7.9,8.3,15.3,6.6
"E00014317","E00014317",100.0,45.7,4.5,1.6,26.3,11.9
"E00014318","E00014318",100.0,55.7,7.1,2.1,28.6,2.1
"E00014319","E00014319",100.0,28.6,7.3,12.6,25.2,15.0
"E00014320","E00014320",100.0,46.5,4.0,6.5,24.7,12.0
"E00014309","E00014309",100.0,47.3,7.8,8.7,25.0,6.4
"E00014314","E00014314",100.0,49.1,3.5,6.1,28.9,6.6
"E00014315","E00014315",100.0,38.2,6.4,8.2,33.6,7.3
"E00014321","E00014321",100.0,52.0,8.7,9.4,13.4,10.6
"E00014300","E00014300",100.0,56.3,10.9,4.8,16.7,3.8
"E00014301","E00014301",100.0,39.8,8.0,5.8,26.6,9.1
"E00014323","E00014323",100.0,35.2,10.0,10.3,33.4,7.2
"E00014324","E00014324",100.0,32.6,8.6,6.4,25.9,16.9
"E00014327","E00014327",100.0,59.4,7.5,7.9,16.2,3.0
"E00014304","E00014304",100.0,44.5,10.6,6.6,17.5,12.4
"E00014305","E00014305",100.0,35.2,9.0,17.6,22.7,8.2
"E00014308","E00014308",100.0,33.9,7.2,13.2,27.3,7.9
"E00014310","E00014310",100.0,42.0,7.8,4.3,34.5,2.7
"E00014313","E00014313",100.0,48.5,6.2,12.3,21.2,4.2
"E00014615","E00014615",100.0,42.8,13.5,9.1,15.7,14.2
"E00014620","E00014620",100.0,36.7,10.4,8.5,30.7,9.8
"E00014624","E00014624",100.0,48.3,8.1,9.8,21.4,7.7
"E00014629","E00014629",100.0,55.8,5.5,6.7,27.9,0.6
"E00014630","E00014630",100.0,54.3,7.9,7.9,22.9,4.3
"E00014621","E00014621",100.0,56.8,6.4,12.0,15.3,6.1
"E00014623","E00014623",100.0,57.5,6.9,5.4,24.1,4.8
"E00014626","E00014626",100.0,48.9,9.2,12.7,18.0,6.3
"E00014628","E00014628",100.0,61.5,4.9,8.0,13.5,3.8
"E00014634","E00014634",100.0,59.7,9.5,6.6,14.4,3.0
"E00014616","E00014616",100.0,75.1,4.9,8.5,6.2,1.3
"E00014622","E00014622",100.0,57.7,9.6,7.7,17.9,5.3
"E00014625","E00014625",100.0,34.1,9.0,12.0,25.1,13.1
"E00014633","E00014633",100.0,76.4,8.0,4.5,8.3,1.4
"E00014636","E00014636",100.0,75.5,6.6,4.8,6.0,2.0
"E00014619","E00014619",100.0,49.8,11.9,6.3,23.1,4.3
"E00014627","E00014627",100.0,46.6,11.6,9.6,18.2,9.9
"E00014631","E00014631",100.0,54.3,12.9,6.2,12.3,8.4
"E00014632","E00014632",100.0,46.6,6.9,7.9,19.1,13.4
"E00014641","E00014641",100.0,72.8,8.2,10.9,8.2,0.0
"E00014450","E00014450",100.0,63.9,6.3,5.9,14.9,4.8
"E00014451","E00014451",100.0,76.6,7.5,3.6,10.3,0.0
"E00014452","E00014452",100.0,84.9,6.2,2.3,3.1,1.7
"E00014453","E00014453",100.0,73.3,5.2,2.6,17.3,1.6
"E00014456","E00014456",100.0,83.1,6.8,3.1,4.9,0.6
"E00014458","E00014458",100.0,84.8,6.7,4.4,2.6,1.2
"E00014445","E00014445",100.0,39.1,5.7,9.1,25.5,4.8
"E00014446","E00014446",100.0,34.3,9.0,13.1,24.8,12.8
"E00014460","E00014460",100.0,70.4,4.4,7.6,8.3,4.9
"E00014462","E00014462",100.0,55.5,9.2,8.6,15.0,6.1
"E00014465","E00014465",100.0,46.6,8.0,9.8,22.3,7.2
"E00014454","E00014454",100.0,63.8,9.1,9.1,9.1,4.2
"E00014455","E00014455",100.0,76.3,4.9,4.0,11.4,2.0
"E00014457","E00014457",100.0,71.5,7.8,6.3,6.7,4.8
"E00014459","E00014459",100.0,59.1,7.9,8.3,16.5,5.4
"E00014463","E00014463",100.0,53.2,7.4,11.1,18.5,3.2
"E00014464","E00014464",100.0,75.4,8.3,5.7,8.0,1.9
"E00014635","E00014635",100.0,58.8,9.7,8.0,13.7,2.2
"E00014637","E00014637",100.0,82.2,3.8,9.2,1.0,2.4
"E00014638","E00014638",100.0,77.0,7.4,4.7,10.2,0.0
"E00014640","E00014640",100.0,76.7,5.5,3.8,5.8,7.4
"E00014643","E00014643",100.0,66.7,7.9,8.7,11.9,2.8
"E00014614","E00014614",100.0,76.6,6.8,5.0,9.2,2.1
"E00014617","E00014617",100.0,79.7,4.4,7.1,6.2,1.2
"E00014618","E00014618",100.0,76.9,5.9,7.9,6.6,2.1
"E00014639","E00014639",100.0,69.4,6.3,5.2,12.8,2.1
"E00014642","E00014642",100.0,74.3,7.5,6.7,5.6,1.6
"E00014644","E00014644",100.0,68.2,11.4,7.9,7.9,2.3
"E00014163","E00014163",100.0,61.6,7.5,10.8,13.1,4.5
"E00014168","E00014168",100.0,74.1,4.7,8.8,7.3,2.6
"E00014170","E00014170",100.0,62.0,10.3,5.1,15.8,1.7
"E00014171","E00014171",100.0,61.5,7.5,7.1,16.3,5.4
"E00014173","E00014173",100.0,60.0,8.9,6.1,21.1,2.2
"E00014175","E00014175",100.0,68.3,7.7,10.3,11.1,1.8
"E00014150","E00014150",100.0,47.0,8.4,10.7,21.5,8.4
"E00014151","E00014151",100.0,61.6,6.5,14.1,13.0,2.8
"E00014162","E00014162",100.0,65.6,8.6,9.2,14.6,0.6
"E00014164","E00014164",100.0,59.0,11.7,11.3,13.4,2.5
"E00014165","E00014165",100.0,62.9,5.8,5.8,22.8,2.3
"E00014167","E00014167",100.0,69.3,4.7,5.8,14.2,3.3
"E00014153","E00014153",100.0,65.1,10.0,7.7,13.4,2.7
"E00014166","E00014166",100.0,59.5,14.0,11.0,13.0,2.0
"E00014169","E00014169",100.0,67.7,4.9,7.0,16.4,1.1
"E00014172","E00014172",100.0,76.6,3.2,3.2,7.8,2.1
"E00014174","E00014174",100.0,71.9,8.3,4.9,12.5,2.4
"E00014177","E00014177",100.0,44.5,5.0,9.8,23.7,6.6
"E00014178","E00014178",100.0,53.0,12.3,3.7,18.3,7.8
