
"KS103EW - Marital and civil partnership status"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All usual residents aged 16+","Single (never married or never registered a same-sex civil partnership)","Married","In a registered same-sex civil partnership","Separated (but still legally married or still legally in a same-sex civil partnership)","Divorced or formerly in a same-sex civil partnership which is now legally dissolved","Widowed or surviving partner from a same-sex civil partnership"

"E00014303","E00014303",100.0,52.5,28.4,0.0,4.3,13.0,1.9
"E00014307","E00014307",100.0,45.6,34.5,0.0,5.9,8.4,5.6
"E00014311","E00014311",100.0,43.3,37.4,0.0,3.5,11.7,4.1
"E00014312","E00014312",100.0,57.2,22.9,0.7,3.8,10.3,5.1
"E00175093","E00175093",100.0,53.6,35.0,0.0,0.9,7.3,3.2
"E00175094","E00175094",100.0,51.5,33.7,0.0,3.6,4.7,6.5
"E00175095","E00175095",100.0,43.5,40.9,0.0,3.6,9.3,2.6
"E00014316","E00014316",100.0,67.0,18.4,2.9,1.0,9.2,1.5
"E00014317","E00014317",100.0,40.4,37.3,1.0,6.2,8.3,6.7
"E00014318","E00014318",100.0,52.0,22.4,1.6,4.0,14.4,5.6
"E00014319","E00014319",100.0,44.7,32.9,0.0,5.9,10.5,5.9
"E00014320","E00014320",100.0,46.9,33.3,0.0,5.2,10.8,3.8
"E00014309","E00014309",100.0,46.9,30.5,1.3,6.0,10.9,4.4
"E00014314","E00014314",100.0,42.6,35.3,0.5,5.8,12.6,3.2
"E00014315","E00014315",100.0,32.0,35.1,1.0,5.2,17.5,9.3
"E00014321","E00014321",100.0,50.8,29.1,1.0,2.5,10.1,6.5
"E00014300","E00014300",100.0,55.5,20.9,2.4,5.2,10.6,5.5
"E00014301","E00014301",100.0,46.3,32.3,0.7,4.0,11.3,5.3
"E00014323","E00014323",100.0,55.3,23.3,0.0,5.1,12.1,4.2
"E00014324","E00014324",100.0,51.7,30.8,0.0,5.7,8.7,3.0
"E00014327","E00014327",100.0,60.0,19.6,2.2,1.8,12.4,4.0
"E00014304","E00014304",100.0,40.8,35.9,0.0,6.8,8.7,7.8
"E00014305","E00014305",100.0,49.5,33.2,0.0,4.7,7.5,5.1
"E00014308","E00014308",100.0,47.8,31.9,0.4,6.0,9.1,4.7
"E00014310","E00014310",100.0,46.4,29.8,0.0,5.5,13.8,4.4
"E00014313","E00014313",100.0,46.4,28.6,2.3,4.5,13.6,4.5
"E00014615","E00014615",100.0,44.4,34.9,0.9,5.2,10.8,3.9
"E00014620","E00014620",100.0,55.4,23.3,0.4,5.4,12.1,3.3
"E00014624","E00014624",100.0,52.5,31.5,0.0,3.0,9.5,3.5
"E00014629","E00014629",100.0,54.8,22.6,0.0,5.5,10.3,6.8
"E00014630","E00014630",100.0,41.7,16.7,0.0,11.1,19.4,11.1
"E00014621","E00014621",100.0,51.3,28.3,0.0,3.2,14.7,2.5
"E00014623","E00014623",100.0,53.5,30.6,0.0,1.6,8.9,5.4
"E00014626","E00014626",100.0,46.2,29.4,1.4,4.1,9.5,9.5
"E00014628","E00014628",100.0,52.7,23.4,0.8,6.7,10.9,5.4
"E00014634","E00014634",100.0,58.2,29.1,0.0,3.6,7.6,1.6
"E00014616","E00014616",100.0,55.7,26.2,0.4,1.5,7.4,8.9
"E00014622","E00014622",100.0,52.0,31.2,0.0,3.4,10.0,3.4
"E00014625","E00014625",100.0,56.2,26.9,0.0,5.5,7.0,4.5
"E00014633","E00014633",100.0,51.2,31.2,0.0,3.3,8.8,5.4
"E00014636","E00014636",100.0,44.4,32.2,0.7,2.0,8.1,12.5
"E00014619","E00014619",100.0,48.7,27.1,0.0,4.5,15.1,4.5
"E00014627","E00014627",100.0,48.1,35.0,0.0,7.0,7.0,2.8
"E00014631","E00014631",100.0,44.3,36.1,0.0,4.9,10.2,4.5
"E00014632","E00014632",100.0,45.1,30.4,0.0,7.4,12.7,4.4
"E00014641","E00014641",100.0,42.3,26.2,0.0,3.1,13.1,15.4
"E00014450","E00014450",100.0,51.4,31.7,0.0,3.7,8.7,4.6
"E00014451","E00014451",100.0,60.1,19.2,0.9,4.2,11.3,4.2
"E00014452","E00014452",100.0,47.7,43.7,0.0,1.8,4.7,2.2
"E00014453","E00014453",100.0,47.6,23.5,1.8,3.5,10.0,13.5
"E00014456","E00014456",100.0,44.0,42.2,0.0,2.2,5.6,6.0
"E00014458","E00014458",100.0,41.6,38.8,1.6,4.3,9.0,4.7
"E00014445","E00014445",100.0,44.1,36.6,0.8,2.8,11.0,4.7
"E00014446","E00014446",100.0,44.7,34.6,0.0,3.4,12.7,4.6
"E00014460","E00014460",100.0,49.7,30.1,0.0,2.9,12.6,4.7
"E00014462","E00014462",100.0,56.4,30.0,0.8,4.0,6.0,2.8
"E00014465","E00014465",100.0,44.5,32.1,0.0,5.7,11.0,6.7
"E00014454","E00014454",100.0,52.0,31.9,0.0,4.4,8.9,2.8
"E00014455","E00014455",100.0,50.0,28.0,0.0,2.3,15.0,4.7
"E00014457","E00014457",100.0,52.0,30.2,1.3,4.0,8.9,3.6
"E00014459","E00014459",100.0,51.9,33.5,0.0,2.4,8.7,3.4
"E00014463","E00014463",100.0,38.9,34.2,0.5,4.1,14.0,8.3
"E00014464","E00014464",100.0,63.2,16.5,0.9,4.8,11.7,3.0
"E00014635","E00014635",100.0,47.8,31.9,0.0,5.5,5.5,9.3
"E00014637","E00014637",100.0,53.4,32.1,0.0,3.2,6.8,4.4
"E00014638","E00014638",100.0,51.2,24.7,0.0,2.8,9.8,11.6
"E00014640","E00014640",100.0,47.9,41.1,0.0,1.4,7.1,2.5
"E00014643","E00014643",100.0,56.1,25.7,0.9,3.3,10.3,3.7
"E00014614","E00014614",100.0,54.1,26.4,0.7,3.0,11.2,4.6
"E00014617","E00014617",100.0,57.5,28.6,0.0,3.7,7.5,2.7
"E00014618","E00014618",100.0,49.8,31.9,0.8,4.0,10.8,2.8
"E00014639","E00014639",100.0,56.7,27.0,0.9,2.4,10.0,3.0
"E00014642","E00014642",100.0,64.4,20.5,0.6,3.3,9.7,1.5
"E00014644","E00014644",100.0,56.8,29.4,0.6,2.2,7.2,3.9
"E00014163","E00014163",100.0,54.1,22.4,2.4,2.4,14.6,4.1
"E00014168","E00014168",100.0,56.2,26.2,0.0,2.1,12.9,2.5
"E00014170","E00014170",100.0,52.0,32.1,0.0,3.1,8.7,4.1
"E00014171","E00014171",100.0,51.9,29.0,0.0,5.7,10.0,3.3
