
"KS209EW - Religion"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Other religion","No religion","Religion not stated"

"E00014303","E00014303",57.3,1.0,0.5,1.5,19.6,0.0,1.0,11.6,7.5
"E00014307","E00014307",55.3,0.0,2.3,0.3,25.1,0.0,0.3,11.1,5.7
"E00014311","E00014311",52.2,1.0,0.0,0.0,31.1,0.0,0.5,7.7,7.7
"E00014312","E00014312",51.1,2.1,0.0,0.8,24.2,0.0,0.3,14.6,6.9
"E00175093","E00175093",47.3,0.4,2.6,0.0,28.9,0.4,0.0,15.4,5.1
"E00175094","E00175094",54.5,1.1,0.0,0.0,13.4,0.0,1.6,21.4,8.0
"E00175095","E00175095",39.9,0.3,0.3,0.0,43.5,0.0,0.3,8.6,7.0
"E00014316","E00014316",46.3,1.7,1.3,2.2,14.4,0.0,0.4,26.6,7.0
"E00014317","E00014317",48.1,0.0,0.0,0.0,32.9,0.0,0.0,9.9,9.1
"E00014318","E00014318",44.3,0.0,0.0,0.0,17.1,0.0,0.7,28.6,9.3
"E00014319","E00014319",38.3,0.0,0.0,0.0,44.2,0.0,0.0,10.2,7.3
"E00014320","E00014320",51.6,0.4,0.0,0.4,27.3,0.0,0.0,9.1,11.3
"E00014309","E00014309",47.1,0.8,0.0,0.4,23.6,0.0,0.0,17.6,10.6
"E00014314","E00014314",50.4,0.4,0.9,0.4,28.5,0.4,0.9,7.5,10.5
"E00014315","E00014315",52.7,0.9,1.8,2.7,24.5,0.0,0.0,10.0,7.3
"E00014321","E00014321",44.1,2.0,2.4,0.4,26.8,0.0,0.0,14.6,9.8
"E00014300","E00014300",48.0,1.5,0.3,0.8,13.1,0.8,0.5,25.3,9.8
"E00014301","E00014301",46.4,0.5,0.0,0.3,29.7,0.3,0.0,13.5,9.3
"E00014323","E00014323",48.3,0.5,1.0,0.0,25.2,0.0,1.0,17.0,6.9
"E00014324","E00014324",41.9,0.0,0.6,1.0,31.0,0.3,0.0,16.6,8.6
"E00014327","E00014327",52.3,0.0,0.0,0.0,13.5,0.4,0.4,24.1,9.4
"E00014304","E00014304",49.3,0.7,0.0,0.4,24.8,0.0,0.7,12.8,11.3
"E00014305","E00014305",44.9,1.2,0.0,0.4,36.7,0.0,0.0,8.2,8.6
"E00014308","E00014308",48.7,1.0,0.0,0.0,28.9,0.0,0.0,9.9,11.5
"E00014310","E00014310",40.4,0.4,0.8,0.0,33.3,0.0,0.8,13.3,11.0
"E00014313","E00014313",49.6,0.4,0.0,1.5,23.1,0.0,0.0,15.4,10.0
"E00014615","E00014615",42.5,0.0,1.3,0.0,34.6,0.0,0.0,11.9,9.7
"E00014620","E00014620",46.5,0.3,0.0,0.0,30.1,0.0,0.3,17.1,5.7
"E00014624","E00014624",62.0,1.3,0.0,0.4,12.0,0.0,0.0,16.2,8.1
"E00014629","E00014629",55.2,0.6,0.0,1.2,6.7,0.0,0.6,20.6,15.2
"E00014630","E00014630",55.7,2.1,0.0,0.0,18.6,0.0,0.0,16.4,7.1
"E00014621","E00014621",54.6,0.6,0.8,0.8,18.7,0.0,0.3,18.1,6.1
"E00014623","E00014623",54.5,0.3,1.5,0.0,11.7,0.0,0.0,21.7,10.2
"E00014626","E00014626",42.3,1.8,3.5,0.4,21.5,0.0,0.4,17.3,13.0
"E00014628","E00014628",54.2,1.0,1.4,0.3,15.6,0.0,0.0,19.1,8.3
"E00014634","E00014634",42.0,0.7,0.3,1.6,15.4,0.0,1.0,29.8,9.2
"E00014616","E00014616",49.2,2.0,1.6,0.7,3.9,0.3,0.0,30.8,11.5
"E00014622","E00014622",50.2,1.1,0.2,3.6,16.6,0.2,0.2,21.5,6.4
"E00014625","E00014625",38.2,1.5,0.0,0.0,38.2,0.0,0.0,13.1,9.0
"E00014633","E00014633",60.8,2.1,2.4,0.3,4.5,0.3,0.0,21.5,8.0
"E00014636","E00014636",61.3,0.0,0.3,0.9,7.1,0.0,0.0,22.2,8.3
"E00014619","E00014619",51.2,0.3,0.0,0.0,19.5,2.0,0.3,20.1,6.6
"E00014627","E00014627",50.3,0.0,0.3,0.0,25.3,0.0,0.3,15.4,8.2
"E00014631","E00014631",54.3,0.0,0.0,0.0,20.7,0.0,0.0,17.4,7.6
"E00014632","E00014632",52.7,1.1,0.0,0.4,29.6,0.0,0.0,6.1,10.1
"E00014641","E00014641",69.4,0.7,0.0,0.0,6.1,0.0,0.0,10.9,12.9
"E00014450","E00014450",47.2,0.4,0.0,1.1,15.2,0.0,0.0,25.7,10.4
"E00014451","E00014451",53.6,0.8,0.0,0.4,2.8,0.0,0.4,28.2,13.9
"E00014452","E00014452",51.4,0.6,0.3,0.9,4.8,0.0,2.0,30.1,9.9
"E00014453","E00014453",61.3,0.0,1.0,1.6,6.8,0.0,0.5,17.3,11.5
"E00014456","E00014456",64.0,1.8,0.0,3.4,2.2,0.0,1.8,18.8,8.0
"E00014458","E00014458",54.8,0.0,0.0,1.2,3.8,0.6,0.6,29.4,9.6
"E00014445","E00014445",59.2,1.4,0.3,0.0,25.8,0.0,0.3,6.2,6.8
"E00014446","E00014446",46.9,0.6,0.0,0.0,33.7,1.2,0.0,8.4,9.3
"E00014460","E00014460",53.5,1.4,1.4,1.9,12.7,0.0,0.9,21.3,6.9
"E00014462","E00014462",41.4,3.7,0.0,0.9,22.4,0.0,0.9,20.2,10.4
"E00014465","E00014465",54.9,0.8,0.0,0.0,20.8,0.0,0.0,17.0,6.4
"E00014454","E00014454",44.6,0.0,0.7,2.1,14.6,0.0,0.0,25.4,12.5
"E00014455","E00014455",56.6,0.3,0.0,1.1,6.6,0.0,0.0,25.1,10.3
"E00014457","E00014457",48.9,0.7,1.1,1.5,9.6,0.0,0.7,25.2,12.2
"E00014459","E00014459",50.8,1.7,0.0,0.4,9.1,0.0,0.8,20.7,16.5
"E00014463","E00014463",56.9,1.4,1.4,0.0,14.8,0.0,0.9,14.4,10.2
"E00014464","E00014464",51.5,2.3,0.8,0.8,6.4,0.4,0.8,31.1,6.1
"E00014635","E00014635",57.1,2.2,0.0,0.4,10.2,0.4,0.0,23.9,5.8
"E00014637","E00014637",50.3,1.7,0.0,1.4,3.1,0.0,1.0,34.6,7.9
"E00014638","E00014638",59.8,1.6,0.4,3.1,2.0,0.0,0.4,20.7,12.1
"E00014640","E00014640",55.1,0.0,1.4,0.5,7.4,0.0,1.4,26.6,7.7
"E00014643","E00014643",48.8,3.2,0.0,0.0,10.7,0.0,1.6,23.4,12.3
"E00014614","E00014614",55.6,0.3,0.9,3.0,4.1,0.0,0.0,27.8,8.3
"E00014617","E00014617",53.5,2.9,0.3,2.6,5.0,0.6,0.0,30.6,4.4
"E00014618","E00014618",57.9,2.8,1.7,0.7,2.1,0.0,0.0,22.4,12.4
"E00014639","E00014639",45.0,2.1,0.8,1.6,8.9,1.3,0.8,27.0,12.6
"E00014642","E00014642",50.1,0.8,1.3,0.8,4.6,0.0,1.1,31.1,10.2
"E00014644","E00014644",51.3,1.2,0.5,2.1,8.1,0.2,0.7,26.2,9.7
"E00014163","E00014163",38.8,4.9,1.1,3.0,10.4,0.0,0.0,32.1,9.7
"E00014168","E00014168",49.3,1.1,1.8,0.0,10.2,0.0,0.4,28.1,9.1
"E00014170","E00014170",43.2,1.7,0.0,3.8,15.0,0.0,1.7,21.4,13.2
"E00014171","E00014171",47.3,2.9,0.0,1.3,8.8,0.0,1.3,25.5,13.0
"E00014173","E00014173",46.1,2.2,0.0,0.6,6.7,0.0,0.6,30.0,13.9
"E00014175","E00014175",49.4,1.1,1.5,0.7,3.3,0.0,0.4,32.1,11.4
"E00014150","E00014150",48.3,3.4,0.7,0.3,17.1,0.0,1.3,21.8,7.0
"E00014151","E00014151",52.0,3.4,0.3,0.8,15.0,0.3,0.0,22.3,5.9
"E00014162","E00014162",49.9,0.3,0.3,0.3,4.6,0.0,0.3,30.4,14.0
"E00014164","E00014164",47.3,2.5,0.0,0.4,10.0,0.0,0.4,28.5,10.9
"E00014165","E00014165",42.1,1.5,0.0,0.0,7.3,0.0,2.3,32.8,13.9
"E00014167","E00014167",48.9,0.7,0.0,1.1,14.2,0.0,0.4,27.7,6.9
"E00014153","E00014153",46.4,3.8,0.0,1.1,11.1,0.0,0.0,27.6,10.0
"E00014166","E00014166",46.5,1.0,6.0,1.0,7.5,0.0,0.5,28.0,9.5
"E00014169","E00014169",45.8,0.8,0.0,1.3,9.2,0.0,1.1,29.6,12.1
"E00014172","E00014172",54.3,0.7,0.0,1.4,8.9,0.4,0.0,25.5,8.9
"E00014174","E00014174",54.7,0.0,0.0,2.1,7.3,0.0,0.0,22.6,13.1
"E00014177","E00014177",49.5,0.6,0.0,0.3,23.7,0.0,0.3,16.7,8.8
"E00014178","E00014178",51.1,0.9,0.5,0.0,14.6,0.5,0.0,20.5,11.9
"E00014152","E00014152",39.2,1.6,0.0,3.2,13.2,0.3,1.1,28.4,13.0
"E00014154","E00014154",46.6,0.0,0.3,2.5,19.1,0.3,0.0,17.5,13.8
"E00014157","E00014157",49.4,0.6,0.9,1.5,17.8,0.0,1.2,17.5,11.2
"E00014176","E00014176",44.8,1.3,0.6,0.3,8.8,0.0,1.9,28.7,13.6
"E00014179","E00014179",50.6,1.1,2.8,0.0,12.9,1.1,3.4,15.2,12.9
"E00014181","E00014181",47.8,1.1,0.6,1.1,4.5,0.0,0.0,36.0,9.0
"E00014302","E00014302",39.6,4.2,0.0,0.8,6.4,0.0,1.5,35.1,12.5
"E00014322","E00014322",40.3,1.7,0.8,1.3,5.5,0.4,0.0,44.1,5.9
"E00014325","E00014325",50.7,0.7,0.0,1.1,11.6,0.0,0.7,26.8,8.5
"E00014326","E00014326",48.9,2.2,0.9,3.1,4.4,0.0,0.9,29.8,9.8
"E00014328","E00014328",48.0,0.0,1.0,1.2,8.1,0.0,1.2,32.5,8.1
"E00014329","E00014329",46.0,1.3,1.0,1.0,9.4,0.0,0.6,31.1,9.7
"E00014412","E00014412",46.0,0.9,0.0,0.9,28.1,0.0,0.0,12.5,11.6
"E00014415","E00014415",52.9,0.3,0.3,0.3,13.4,0.0,1.7,17.4,13.7
"E00014419","E00014419",61.3,0.4,0.0,0.4,15.4,0.0,0.8,8.3,13.4
"E00014438","E00014438",57.5,1.9,1.4,0.5,4.8,0.5,1.0,24.2,8.2
"E00014439","E00014439",55.1,0.4,0.0,0.0,20.6,0.0,0.0,14.6,9.3
"E00014413","E00014413",62.7,0.0,0.0,2.8,1.8,0.0,0.5,22.1,10.1
"E00014414","E00014414",58.5,0.4,0.0,0.4,13.5,0.0,0.7,14.9,11.6
"E00014418","E00014418",57.1,2.9,0.0,1.0,9.5,0.0,0.5,20.0,9.0
"E00014422","E00014422",53.8,0.4,0.0,0.4,19.2,0.4,0.0,14.5,11.1
"E00014423","E00014423",68.1,1.1,0.0,1.1,3.0,0.0,1.9,17.4,7.4
"E00014425","E00014425",52.9,0.0,0.4,2.1,12.5,0.8,0.4,21.2,9.6
"E00014440","E00014440",42.0,1.1,0.0,0.6,7.3,0.0,1.1,33.8,14.1
"E00014442","E00014442",51.6,0.3,0.7,1.0,28.7,0.0,0.0,12.1,5.5
"E00014461","E00014461",53.7,6.0,0.0,0.5,13.4,0.0,0.5,13.9,12.0
"E00014468","E00014468",40.8,1.6,0.6,0.0,29.4,0.0,1.3,11.0,15.2
"E00014470","E00014470",51.8,3.1,0.0,1.1,21.7,0.3,0.6,16.4,5.0
"E00014443","E00014443",52.1,1.2,0.0,0.0,28.1,0.0,0.3,8.9,9.5
"E00014444","E00014444",37.1,0.8,1.5,0.0,38.2,0.4,0.0,10.0,12.0
"E00014466","E00014466",55.8,1.6,0.9,0.6,22.4,0.0,0.3,9.7,8.7
"E00014467","E00014467",50.0,1.5,0.0,0.0,23.1,0.3,0.0,12.6,12.6
"E00014469","E00014469",56.6,1.4,0.0,1.0,17.4,0.3,0.3,14.2,8.7
"E00014441","E00014441",48.8,0.5,0.5,0.3,24.2,0.0,0.0,15.7,10.0
"E00014447","E00014447",49.1,0.3,0.3,0.0,27.3,0.0,0.0,13.9,9.2
"E00014448","E00014448",59.5,0.6,0.0,0.0,20.5,0.0,0.0,13.6,5.7
"E00014449","E00014449",47.1,0.3,0.0,2.7,12.1,0.0,0.0,25.9,11.8
"E00014477","E00014477",54.1,0.5,0.5,5.1,2.0,0.0,0.0,20.9,16.8
"E00014490","E00014490",55.5,2.9,0.6,0.6,13.9,0.6,0.0,13.9,12.1
"E00014492","E00014492",48.0,1.4,0.0,3.4,1.4,0.0,0.7,28.4,16.9
"E00014494","E00014494",57.7,0.8,0.0,2.9,2.9,0.4,0.0,22.4,12.9
"E00014497","E00014497",49.1,0.4,0.4,4.9,0.9,0.4,0.0,31.7,12.1
"E00014498","E00014498",59.5,0.6,0.0,4.3,3.1,0.6,0.0,17.2,14.7
"E00014502","E00014502",51.9,0.5,0.5,2.1,1.1,0.0,0.5,27.0,16.4
"E00014473","E00014473",48.4,2.1,0.0,4.2,3.8,0.0,0.7,30.0,10.8
"E00014481","E00014481",52.7,1.4,2.3,1.8,7.3,0.0,1.4,25.5,7.7
"E00014484","E00014484",57.6,1.5,0.0,4.5,1.5,0.0,0.0,26.3,8.6
"E00014485","E00014485",59.7,1.1,0.0,5.0,4.4,0.6,0.0,19.6,9.7
"E00014486","E00014486",47.0,2.1,0.6,4.6,14.9,0.3,0.3,20.4,9.8
"E00014501","E00014501",59.5,0.5,1.4,1.4,0.0,0.5,0.0,27.5,9.5
"E00014506","E00014506",47.5,1.4,1.8,7.8,10.0,0.0,0.0,24.2,7.3
"E00014475","E00014475",54.5,3.5,1.0,2.0,2.5,0.0,0.0,25.8,10.6
"E00014482","E00014482",46.2,2.7,1.8,1.8,2.7,0.0,0.0,32.1,12.7
"E00014483","E00014483",49.7,2.8,1.1,6.1,4.4,0.0,0.0,26.5,9.4
"E00014495","E00014495",52.0,3.6,0.0,1.8,5.3,0.0,0.0,22.2,15.1
"E00014500","E00014500",50.8,2.1,0.5,3.7,8.5,0.0,0.0,21.2,13.2
"E00175087","E00175087",44.2,2.1,1.0,1.5,9.8,0.0,0.3,33.2,8.0
"E00014474","E00014474",46.8,2.4,1.3,5.1,3.0,0.0,0.0,30.3,11.1
"E00014476","E00014476",49.5,3.4,1.4,3.4,1.4,0.5,2.4,32.2,5.8
"E00014478","E00014478",47.5,0.4,1.6,1.2,2.9,0.4,1.2,31.6,13.1
"E00014479","E00014479",43.7,3.5,0.5,3.0,5.5,0.0,1.5,28.6,13.6
"E00014480","E00014480",45.7,1.7,0.0,1.7,5.1,0.6,0.0,34.3,10.9
"E00014496","E00014496",49.5,1.9,1.4,2.3,7.9,0.9,0.0,27.6,8.4
"E00014505","E00014505",50.2,1.5,0.5,2.5,10.9,0.0,0.5,24.4,9.5
"E00014471","E00014471",51.7,0.0,2.9,8.0,1.7,0.0,1.7,23.6,10.3
