
"KS101EW - Usual resident population"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","Males","Females","Lives in a household","Lives in a communal establishment"

"E00014303","E00014303",46.2,53.8,100.0,0.0
"E00014307","E00014307",49.6,50.4,100.0,0.0
"E00014311","E00014311",51.7,48.3,100.0,0.0
"E00014312","E00014312",47.3,52.7,100.0,0.0
"E00175093","E00175093",46.9,53.1,100.0,0.0
"E00175094","E00175094",47.1,52.9,100.0,0.0
"E00175095","E00175095",46.0,54.0,100.0,0.0
"E00014316","E00014316",51.5,48.5,100.0,0.0
"E00014317","E00014317",48.6,51.4,100.0,0.0
"E00014318","E00014318",52.9,47.1,100.0,0.0
"E00014319","E00014319",48.1,51.9,100.0,0.0
"E00014320","E00014320",48.0,52.0,100.0,0.0
"E00014309","E00014309",46.7,53.3,100.0,0.0
"E00014314","E00014314",43.9,56.1,100.0,0.0
"E00014315","E00014315",52.7,47.3,100.0,0.0
"E00014321","E00014321",50.0,50.0,100.0,0.0
"E00014300","E00014300",49.7,50.3,100.0,0.0
"E00014301","E00014301",53.0,47.0,100.0,0.0
"E00014323","E00014323",53.2,46.8,99.0,1.0
"E00014324","E00014324",45.7,54.3,100.0,0.0
"E00014327","E00014327",49.6,50.4,100.0,0.0
"E00014304","E00014304",46.4,53.6,100.0,0.0
"E00014305","E00014305",53.1,46.9,100.0,0.0
"E00014308","E00014308",47.4,52.6,100.0,0.0
"E00014310","E00014310",49.0,51.0,100.0,0.0
"E00014313","E00014313",51.5,48.5,100.0,0.0
"E00014615","E00014615",49.1,50.9,100.0,0.0
"E00014620","E00014620",50.3,49.7,100.0,0.0
"E00014624","E00014624",48.3,51.7,100.0,0.0
"E00014629","E00014629",54.5,45.5,100.0,0.0
"E00014630","E00014630",46.4,53.6,100.0,0.0
"E00014621","E00014621",44.0,56.0,99.7,0.3
"E00014623","E00014623",41.6,58.4,100.0,0.0
"E00014626","E00014626",46.5,53.5,100.0,0.0
"E00014628","E00014628",45.5,54.5,94.1,5.9
"E00014634","E00014634",48.9,51.1,98.4,1.6
"E00014616","E00014616",50.2,49.8,84.9,15.1
"E00014622","E00014622",49.6,50.4,95.3,4.7
"E00014625","E00014625",50.2,49.8,99.6,0.4
"E00014633","E00014633",49.7,50.3,100.0,0.0
"E00014636","E00014636",43.9,56.1,100.0,0.0
"E00014619","E00014619",47.2,52.8,100.0,0.0
"E00014627","E00014627",46.2,53.8,100.0,0.0
"E00014631","E00014631",44.8,55.2,100.0,0.0
"E00014632","E00014632",48.0,52.0,100.0,0.0
"E00014641","E00014641",49.7,50.3,100.0,0.0
"E00014450","E00014450",47.6,52.4,100.0,0.0
"E00014451","E00014451",50.8,49.2,98.8,1.2
"E00014452","E00014452",53.1,46.9,97.7,2.3
"E00014453","E00014453",42.4,57.6,100.0,0.0
"E00014456","E00014456",46.8,53.2,100.0,0.0
"E00014458","E00014458",50.4,49.6,100.0,0.0
"E00014445","E00014445",37.7,62.3,98.3,1.7
"E00014446","E00014446",48.4,51.6,100.0,0.0
"E00014460","E00014460",49.5,50.5,100.0,0.0
"E00014462","E00014462",46.9,53.1,100.0,0.0
"E00014465","E00014465",48.5,51.5,99.6,0.4
"E00014454","E00014454",49.8,50.2,100.0,0.0
"E00014455","E00014455",46.0,54.0,100.0,0.0
"E00014457","E00014457",48.5,51.5,100.0,0.0
"E00014459","E00014459",42.6,57.4,100.0,0.0
