"unique_id","price_paid","property_type","new_build","estate_type","oseast1m","osnrth1m"
"5D28E312-12E1-47AC-BFF7-91FFE15A43FC",3400000,"T","N","F",526479,177898
"5EFB398F-0E6A-4597-BF66-46D79E26224F",785000,"F","N","L",526495,177801
"E0AF7978-303F-42F2-9F6D-949265BB458E",620000,"F","N","L",526495,177801
"39F4BBEB-DDB5-4FF2-ADF5-E0DB2D1E52DD",520000,"F","N","L",526495,177801
"6EC478AD-FD02-469F-A551-5B710700B68D",740000,"F","N","L",526495,177801
"2587C3A3-ACAF-41C9-BB1E-D9B1871CA0EC",560000,"F","N","L",526495,177801
"68A1A262-CB3D-4A07-9829-80263E8636FA",655000,"F","N","L",526495,177801
"D2F8EFCC-C08E-4021-A1B5-13DC16083C71",2000000,"F","N","L",526611,177707
"367003AD-B77D-4F7C-92CA-F79BEEE2EBFA",770000,"F","N","L",526640,177726
"69F2501C-5FEC-413D-BC7C-A2745905C91F",590000,"F","N","L",526434,177831
"D9C08DF9-62B2-4CCD-9F64-9C9D928424DC",2550000,"T","N","F",526556,177699
"13FC6283-7312-45E5-9BF9-1300FD88AB93",472000,"F","N","L",526618,177543
"FD5A43DD-971B-4731-8C51-94B033414251",370000,"F","N","L",526596,177466
"58FFA904-BDD9-4145-B8A0-C18B6B69BD98",360000,"F","N","L",526715,177563
"B27AF78C-54D7-45A9-8414-516706C77833",450000,"F","N","L",526796,177549
"B393E407-430C-46C4-9B95-D2E0B9439583",750000,"F","N","L",526796,177549
"E21397C6-10F6-48B6-90C6-EF572ABF78D4",538000,"F","N","L",526796,177549
"C3F953BA-BA20-437C-92F7-379DD3336FAC",514000,"F","N","L",526796,177549
"3324F70D-B241-4189-84CD-FC3CCD48D17A",525000,"F","N","L",526796,177549
"BF1F7E69-3C9F-4380-8F70-4611EF89E967",650000,"F","N","L",526796,177549
"1179946E-C2BC-48AC-B285-0DD28FD8036D",482000,"F","N","L",526752,177517
"61D2CC68-2D50-4CEB-A5FE-1218395DC5A0",265000,"F","N","L",526719,177468
"CB11D038-1B80-4715-AFB9-9F2257BBE6E2",5200000,"T","N","F",526860,177499
"FAC4A5DF-23A2-437B-9D2C-EF47202F3F5C",340000,"F","N","L",526419,177383
"6A2F6E99-9D60-402F-AC5A-655268AD9855",250000,"F","N","L",526540,177325
"A0FC508F-4465-4958-BCE1-F4CAEA513E45",360000,"F","N","L",526540,177325
"0A417D2E-A739-4F35-AFE2-2C2DFA6ECCFA",299950,"F","N","L",526621,177414
"BA47FB91-6C84-4770-BBC4-CAF6B164D32C",495000,"F","N","L",526662,177370
"7062DD01-F464-47E7-B622-26BFBA71341C",425000,"F","N","L",526688,177389
"259F3682-E3D5-4D4B-9F39-DC8E4571736C",2900000,"T","N","F",526452,177767
"8494C8EC-A921-4B1C-8E79-640121E0C0D3",441000,"F","N","L",526623,177618
"410D137C-6864-46CB-BCFD-FBD0FD8252EB",2800000,"T","N","F",526575,177585
"2B709D95-65AD-40E5-BC82-3781400A5B92",2800000,"T","N","L",526575,177585
"5FA170DF-8D82-49CD-A39D-CFFE317095DD",2725000,"T","N","F",526518,177547
"B35CA9C3-72B3-4399-A198-B412814422FD",3100000,"T","N","F",526467,177521
"A81909A5-D312-4B10-BA2A-4533ABF041CB",740000,"F","N","L",526467,177521
"CF1307B9-B11E-418D-BBEF-5F2E26BAAD71",1000000,"F","N","L",526467,177521
"A53B7D0E-E3AE-4624-ADDF-3B0AF3446871",3000000,"T","N","F",526433,177576
"803464EA-88A1-4DF2-B5C6-39DCC0C489E9",1075000,"F","N","L",526500,177609
"DDE6F3FB-2211-4AEE-A2AA-02F21C2D9A18",3100000,"T","N","F",526525,177634
"19411B1B-2DFC-46DC-B727-936B4C51B7F8",2750000,"T","N","F",526551,177614
"81B7EC01-139C-4827-A33A-A5984B095710",1695000,"T","N","F",526511,177662
"BC01CA7D-DDC5-4C03-9D68-9438F36BEC4D",487500,"F","N","L",526511,177662
"F82C099C-4DC4-4CB4-83D3-C260C15CDD8E",3000000,"T","N","F",526417,177562
"33554005-634E-4698-A363-5102C716E67C",2500000,"S","N","F",526421,177645
"52106DFC-93A5-49BC-8F6E-0204912DFBAA",2300000,"S","N","F",526421,177645
"CE58C343-2FE0-4F48-8EED-CEBFF7E35972",1350000,"T","N","F",526372,177535
"D36C61EF-C6B7-4CB1-B131-4D2B81B54DF9",1612500,"T","N","F",526372,177535
"4B9B26F9-9CF6-484A-86B5-E31D1DE9EB26",895000,"F","N","L",526412,177599
"8644000C-FB0B-4864-ABCC-31E42A57E2C6",1550000,"T","N","F",526359,177504
"1E0021DD-FA25-4ECF-BD0F-6720BD66F029",1595000,"T","N","F",526359,177504
"C82DBA93-7EE9-439A-8DB8-31F2A8F73872",695000,"F","N","L",526252,177640
"921A4C81-27C8-48AA-88CE-2D925B0F86F5",1525000,"T","N","F",526252,177640
"0B5AFACE-A482-4066-AF8A-5BE64E0C932F",575000,"F","N","L",526252,177640
"6EA5C3E1-A7A6-4608-BEDE-A61FF20FF0BD",305000,"F","N","L",526334,177512
"6C02CFDC-DFEC-4541-820E-BD92046AD93F",975000,"F","N","L",526655,177622
"310EA6B6-1401-4979-B49A-FAAC6A42264B",413000,"F","N","L",526588,177569
"6F2B10CF-B386-4457-A0BB-D7FF14628E49",960000,"F","N","F",526150,177579
"D27A5CD5-756D-4DBC-B7EF-DBF5C6B87578",680000,"F","N","L",526559,177250
"5875A08B-4D0A-4B1A-B54F-824CB620DD6F",595000,"F","N","L",526474,177238
"9F76EFF1-A091-4746-9792-F2F29A760208",436500,"F","N","L",526428,177303
"0374BDE4-49F8-499C-82EA-80D954192B4F",425000,"T","N","L",526428,177303
"0DB2EF45-E243-435F-911E-A6FD1BD0A121",425000,"F","N","L",526319,177469
"DAF844A5-86D0-4E43-8D0B-66941BA35376",530000,"F","N","L",526319,177469
"8731591C-526D-44C3-915C-8C13AD713A2A",950000,"F","N","L",526319,177469
"98A38024-F6F0-4CD6-83CA-A73396C0A80A",710000,"F","N","L",526576,177740
"2A289E9E-32ED-CDC8-E050-A8C063054829",1950000,"T","N","F",526215,177611
"7401F530-1CDD-4B2C-B85E-C969D92A6CEA",2400000,"T","N","F",526215,177611
"14861426-66B9-4DF4-8A29-0AFA591B413B",455000,"F","N","L",526215,177611
"98F1CF71-BD5A-4D06-B2CD-C45E6D1A810F",420000,"F","N","L",526215,177611
"6AC82E85-A135-42DF-AD35-E8292BAB5155",470000,"F","N","L",526215,177611
"C6535F47-2460-4D88-8A50-E60C5C2D58EB",770000,"F","N","L",526315,177216
"ECCBABE5-6447-497B-A601-01BA946AB2D8",679000,"F","N","L",526365,177224
"4AF98E02-4D36-44C0-BDA8-4ED6F4B7258A",720000,"F","N","L",526365,177224
"80445450-1668-4FF7-8E13-D882A820CE07",750000,"F","N","L",526358,177299
"ACA2A922-9F8F-476A-87BC-BBEFB84C737F",472500,"F","N","L",526358,177299
"349C4195-A864-44CE-9C97-46E428DD6378",765000,"F","N","L",526358,177299
"6BC329A7-AF57-4548-9FE6-E929F69FED59",650000,"F","N","L",526358,177299
"94505D47-7B31-4CE0-AD73-3FA504571DC0",485000,"F","N","L",526443,177184
"713937E2-2949-49D6-8238-D8D88392FCAA",1125000,"F","N","L",526374,177195
"20709933-FB3F-4070-BC94-8C5189CAAA3E",652500,"F","N","L",526331,177165
"2BA32309-7318-4168-BAC5-A60252B65B45",715000,"T","N","L",526203,177096
"7CDA2C9F-9E90-4039-B21C-3D97622FA734",1637500,"T","N","F",526348,177135
"584D458A-897C-43DD-A33B-2944766784E7",1385000,"T","N","F",526408,177159
"BF59AC7B-471E-4A04-BD11-007B91B0B8B4",300000,"F","N","L",526438,177142
"4CBE3F47-A250-4D6D-BBBA-43B411542E03",1000000,"F","Y","L",526038,177491
"3D6C1C4F-F9D9-4277-BEF3-4A179DD16060",859500,"F","Y","L",526038,177491
"36AA77F9-8E3B-45B0-AFC0-D332037350BC",812500,"F","Y","L",526038,177491
"01E5019A-A1D2-4A26-8EC5-545BD7280471",882000,"F","Y","L",526038,177491
"DA5AA391-CA2A-4AB0-B25B-0DD07FDE5BB4",895500,"F","Y","L",526038,177491
"41EFC348-F0EB-4B0C-8B57-461E57703208",715000,"F","Y","L",526038,177491
"FE9050AB-6FAC-49F0-BAF4-F2A024B5EB5F",1550000,"F","Y","L",526038,177491
"B487DE0B-3F60-4DF2-BBE4-6D726EA38D58",1260000,"F","Y","L",526038,177491
"46C91864-7239-4299-A6CF-B6CE6D0D2FCA",1400000,"F","Y","L",526038,177491
"AF18447A-0F23-4C4D-91ED-E479B5E824BD",1429000,"F","Y","L",526038,177491
"E7136941-230D-46E6-9B3C-130F398EEC17",625000,"F","N","L",526416,177094
"ADB4BDD5-7196-4BCC-9616-33671A7247CD",290000,"F","N","L",526416,177094
"2AE8C095-C2D9-4AC2-B390-B934DC379BBC",850000,"F","N","L",526416,177094
"50C9E3A2-AC64-4084-8AA9-4A0F35DEA28B",720000,"F","N","L",526416,177094
"D8F3D431-C769-4F7C-B63F-EB6AC0A95B0C",1125000,"F","N","L",526145,177409
"9339BDB1-9015-4AFF-B17A-647C7E8842E5",306500,"F","N","L",526179,177385
"F24E90CA-9CC7-4BB7-A151-A8B87E4D9A2A",442250,"F","N","L",526158,177425
"5803044A-9630-48EB-8B6D-CAA2E047761F",2400000,"F","N","L",525966,177351
"9C02E708-702E-4919-8E6E-6342ED75DFDF",585000,"F","N","L",525938,177336
"B9CC4276-E4FC-4118-91F5-0F55D74F7C69",535000,"F","N","L",525938,177336
"F66F6AAE-C5CA-4469-AEE0-6843E08A9DD0",497500,"F","N","L",525938,177336
"9F14B59B-FF11-46F3-874E-DB1E98D852A0",2750000,"F","N","L",525952,177306
"2DFC2B58-8F16-4995-8C8A-1D43B3C2AE50",1400000,"F","N","L",525986,177284
"1357AE09-DBE9-4B2B-B9F4-75DFA8A0D1B5",1230000,"F","N","L",525986,177284
"886ABBAA-3F09-400C-8909-FAFE3BD5339A",499999,"F","N","L",526039,177278
"A8BDF5EE-01FF-4578-A018-0213E2935D98",333000,"F","N","L",526039,177278
"BF115ACD-D5DB-4333-9D8D-D40F23A3C8F4",385000,"F","N","L",526163,177254
"5D68BD21-FB09-4F7F-8452-2C63CB64D824",1345900,"T","N","F",526270,177157
